form_count,div_count,samp_count,ol_count,h3_count,link_count,figcaption_count,object_count,u_count,track_count,dd_count,code_count,h6_count,h4_count,li_count,em_count,progress_count,paragraph_count,select_count,header_count,button_count,caption_count,sub_count,dir_count,small_count,dialog_count,time_count,map_count,col_count,main_count,input_count,style_count,tr_count,dt_count,dl_count,filename,bold_count,tfoot_count,section_count,ins_count,source_count,td_count,output_count,h2_count,span_count,aside_count,textarea_count,blockquote_count,datalist_count,svg_count,mark_count,iframe_count,image_count,wbr_count,del_count,tbody_count,hr_count,meter_count,footer_count,colgroup_count,optgroup_count,article_count,thead_count,a_count,abbr_count,br_count,font_count,option_count,table_count,legend_count,th_count,area_count,noscript_count,script_count,canvas_count,keygen_count,bdi_count,video_count,h5_count,summary_count,pre_count,s_count,quotation_count,fieldset_count,audio_count,strong_count,bdo_count,address_count,nav_count,menu_count,label_count,kbd_count,h1_count,dfn_count,sup_count,cite_count,embed_count,details_count,i_count,var_count,figure_count,param_count,menuitem_count,ul_count,quality
2,164,0,0,2,10,0,0,0,0,0,0,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,1,1001242_raw_html.txt,3,0,0,0,0,9,0,6,34,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,267,0,0,1,9,0,0,0,0,0,0,0,2,20,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,1,2,1001278_raw_html.txt,41,0,0,0,0,4,0,5,131,2,0,0,0,0,0,1,21,0,0,2,0,0,1,0,0,0,0,61,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0
2,211,0,0,5,19,0,0,0,0,0,0,0,0,66,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1001284_raw_html.txt,0,0,1,0,0,0,0,1,81,1,0,2,0,0,0,2,9,0,0,0,0,0,1,0,0,5,0,105,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,43,0,0,5,0,0,0,0,20,0
1,462,0,0,25,12,0,0,0,0,0,0,1,2,142,3,1,2,4,1,8,0,2,0,0,0,0,0,0,0,30,0,0,0,0,1001296_raw_html.txt,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,1,57,0,0,0,0,0,1,0,0,0,0,305,0,0,0,4,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,5,0,0,0,0,29,0
1,31,0,0,0,6,0,0,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1001302_raw_html.txt,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
3,366,0,0,1,66,0,0,0,0,0,0,0,1,166,3,0,11,1,0,0,1,0,0,1,0,3,0,0,0,12,4,7,0,0,1001314_raw_html.txt,0,1,0,0,0,36,0,20,126,0,0,0,0,0,0,2,35,0,0,1,0,0,0,0,0,0,1,222,2,0,0,35,1,0,7,0,0,99,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,30,0
1,30,0,0,0,5,0,0,0,0,0,0,0,0,41,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1001326_raw_html.txt,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0
1,240,0,0,0,21,0,0,0,0,0,0,0,0,74,2,0,31,0,2,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,1001386_raw_html.txt,0,0,1,0,4,0,0,1,17,3,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,1,0,126,0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,1,0,3,0,2,0,0,0,0,0,0,0,0,18,0
2,87,0,0,4,25,0,0,0,0,0,0,0,7,31,1,0,13,0,2,0,0,0,0,0,0,1,0,0,1,7,3,0,0,0,1001464_raw_html.txt,0,0,18,0,0,0,0,0,28,2,0,0,0,0,0,1,21,0,0,0,4,0,2,0,0,1,0,71,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,9,0
6,140,0,0,2,35,0,0,0,0,0,0,0,6,59,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1001536_raw_html.txt,0,0,0,0,0,0,0,2,92,0,0,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,13,0
1,107,0,0,14,14,0,0,0,0,0,0,0,1,216,9,0,63,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1001554_raw_html.txt,0,0,0,0,0,0,0,11,6,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,35,0
2,82,0,0,1,12,0,0,0,0,0,0,0,2,62,0,0,8,0,2,2,0,0,0,4,0,2,0,0,1,22,0,0,0,0,1001560_raw_html.txt,0,0,3,0,0,0,0,0,36,1,1,0,0,0,0,0,11,0,0,0,1,0,2,0,0,1,0,100,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,17,0,0,0,0,12,0
2,88,0,1,24,23,0,0,0,0,0,0,0,0,18,0,0,16,0,1,0,0,0,0,3,0,0,0,0,0,10,2,0,0,0,1001584_raw_html.txt,0,0,0,2,0,0,0,1,13,0,1,0,0,0,0,1,18,0,0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0
2,81,0,0,0,21,0,0,0,0,0,0,0,0,31,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,100162_raw_html.txt,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,16,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,0,0,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
1,153,0,0,6,7,0,0,0,0,0,0,0,1,78,3,0,19,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1001668_raw_html.txt,8,0,0,3,0,0,0,0,133,0,0,0,0,0,0,2,20,0,0,0,1,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,2,51,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001710_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,29,0,0,4,10,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1001722_raw_html.txt,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0
0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1001728_raw_html.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,52,0,1,8,26,1,0,0,0,0,0,0,0,77,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1001794_raw_html.txt,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0
4,74,0,0,3,29,0,0,0,0,0,0,0,26,136,2,0,72,0,2,2,0,0,0,0,0,0,0,0,0,20,4,0,0,0,1001860_raw_html.txt,0,0,1,0,0,0,0,14,240,6,0,0,0,0,0,0,23,0,0,0,9,0,1,0,0,1,0,213,0,0,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,0,2,0,0,0,0,0,11,0,0,0,0,25,1
3,101,0,0,0,12,0,0,0,0,0,0,0,12,118,0,0,26,0,5,1,0,0,0,19,0,0,0,0,0,12,0,0,0,0,1001920_raw_html.txt,3,0,19,0,0,0,0,3,93,1,0,0,0,0,0,0,68,0,0,0,0,0,2,0,0,26,0,178,0,0,0,0,0,0,0,0,8,22,0,0,0,0,14,0,0,0,0,3,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001980_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001992_raw_html.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,217,0,0,0,12,0,0,0,0,0,0,0,2,67,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,7,1,0,1,1001998_raw_html.txt,6,0,0,3,0,2,0,3,74,0,0,2,0,0,0,1,32,0,0,1,0,0,0,0,0,0,0,161,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,12,0
0,50,0,0,2,10,0,0,0,0,0,0,0,0,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1002022_raw_html.txt,0,0,0,0,0,0,0,6,39,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0
1,132,0,0,9,11,5,0,0,0,0,0,0,0,129,0,0,34,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,1002136_raw_html.txt,0,0,1,0,0,0,0,9,82,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,150,0,0,0,0,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,1,0,0,0,0,0,6,0,7,0,0,12,0
0,102,0,1,5,8,0,0,0,0,0,0,0,0,57,1,0,42,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1002166_raw_html.txt,0,0,0,0,0,1,0,2,47,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,1,0,82,0,0,0,0,1,0,0,0,5,42,0,0,0,0,2,0,0,0,0,0,0,11,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,0
1,136,0,2,2,11,0,0,1,0,0,0,2,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,12,0,0,1002220_raw_html.txt,9,0,0,2,0,22,0,3,44,1,0,0,0,0,0,0,7,0,0,5,0,0,1,0,0,1,0,60,0,0,0,0,5,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0
2,59,0,0,0,13,0,0,0,0,0,0,0,24,68,2,0,39,0,1,2,0,0,0,1,0,25,0,0,0,4,4,0,0,0,1002286_raw_html.txt,0,0,2,0,0,0,0,10,18,4,0,0,0,0,0,4,33,0,0,0,0,0,1,0,0,21,0,181,0,0,0,0,0,0,0,0,1,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,14,0
3,100,0,0,19,19,0,0,0,0,0,0,0,1,139,2,0,9,0,10,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,1002454_raw_html.txt,0,0,0,0,0,0,0,0,59,5,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,7,0,184,0,0,0,0,0,0,0,0,0,33,0,0,0,0,11,0,0,0,0,0,0,7,0,0,2,0,3,0,1,0,0,0,0,0,35,0,0,0,0,35,0
3,124,0,0,6,39,0,0,0,0,0,0,5,0,130,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,12,3,0,0,0,1002526_raw_html.txt,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,171,0,0,0,16,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,25,0
4,82,0,0,1,12,0,0,0,0,0,0,0,1,51,1,0,3,2,2,2,0,0,0,1,0,2,2,0,0,10,2,0,0,0,1002562_raw_html.txt,0,0,5,0,0,0,0,0,27,2,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,2,0,68,0,0,0,51,0,0,0,9,1,36,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,4,0,2,0,0,0,0,0,1,0,4,0,0,10,0
2,228,0,0,1,10,0,0,0,0,0,0,0,0,7485,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,1002592_raw_html.txt,0,0,0,2,0,0,0,9,47,0,1,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,7543,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,9,0
2,128,0,0,1,10,0,0,0,0,0,0,0,0,46,3,0,21,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1002706_raw_html.txt,1,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,64,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,1
4,73,0,0,9,16,0,0,0,0,0,0,0,0,74,0,0,31,0,1,3,0,0,0,0,0,0,0,0,0,40,11,0,0,0,1002724_raw_html.txt,1,0,0,3,0,0,0,5,47,10,0,0,0,0,0,0,34,0,0,0,2,0,3,0,0,0,0,112,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,5,0,0,0,0,0,0,0,16,1
1,55,0,0,2,5,0,0,0,0,0,0,1,0,19,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,13,1,7,0,0,1002772_raw_html.txt,0,0,0,0,0,12,0,1,9,0,0,0,0,0,0,1,21,0,0,1,0,0,0,0,0,0,0,74,0,0,0,1,2,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
3,44,0,0,0,7,0,0,0,0,0,0,0,0,27,0,0,4,0,1,1,0,0,0,3,0,0,0,0,0,7,2,0,0,0,1002802_raw_html.txt,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,6,0
2,122,0,0,4,2,0,0,0,0,0,0,0,6,43,1,0,32,0,0,3,0,0,0,1,0,1,0,0,0,5,0,0,0,0,1002838_raw_html.txt,0,0,0,0,0,0,0,1,23,1,1,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,0,86,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,3,0,1,0,0,0,0,0,17,0,0,0,0,9,0
